"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","A","B","mk_pvalue","S","Class"
"127",22322,24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,86.8064935064932,20671.8904761905,0.487350390335321,24,"None"
"128",24473,23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,186.325974025974,19872.5571428571,0.155824587862033,48,"None"
"129",23633,18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,347.972727272727,18432.0619047619,0.0200632459497888,78,"None"
"130",18987,17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,497.593506493506,17197.5190476191,0.00186908189838691,104,"Positive"
"131",17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,477.132467532467,17715.9714285714,0.00228925857789761,102,"Positive"
"132",21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,517.433766233766,17973.3714285714,0.00279438759166356,100,"Positive"
"133",19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,660.725974025974,17138.7761904762,0.000515354543994406,116,"Positive"
"134",21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,744.483116883116,16980.7333333333,0.000203830273131238,124,"Positive"
"135",25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,890.922077922077,16258.9523809524,3.51909335945019e-05,138,"Positive"
"136",21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,1140.38831168831,14495.4428571429,1.16379291734984e-06,162,"Positive"
"137",17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,1242.18831168831,14336.880952381,2.42149694496693e-07,172,"Positive"
"138",17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,40731,1263.44285714286,15189.5095238095,3.33816826981339e-07,170,"Positive"
"139",18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,40731,41282,1258.23766233766,16372.7190476191,6.2770539943568e-07,166,"Positive"
"140",21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,40731,41282,46431,1299.86623376623,17250.3761904762,6.2770539943568e-07,166,"Positive"
"141",23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,40731,41282,46431,51819,1413.98701298701,17457.380952381,3.33816826981339e-07,170,"Positive"
"142",24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,40731,41282,46431,51819,56628,1579.58051948052,17230.8523809524,1.75034906239331e-07,174,"Positive"
"143",25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,40731,41282,46431,51819,56628,51360,1658.01558441558,17629.6857142857,1.2607515202568e-07,176,"Positive"
"144",18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,40731,41282,46431,51819,56628,51360,45682,1633.18831168831,18877.7380952381,1.75034906239331e-07,174,"Positive"
